iteration,policy,selected_router_index,selected_router_name,reward,latency_ms,chr,episode
1,Baseline,0,Router1,0.0,0.0,0.0,1
2,Baseline,0,Router1,0.0,0.0,0.0,1
3,Baseline,0,Router1,0.0,0.0,0.0,1
4,Baseline,0,Router1,0.0,0.0,0.0,1
5,Baseline,0,Router1,0.0,0.0,0.0,1
6,Baseline,0,Router1,0.0,0.0,0.0,1
7,Baseline,0,Router1,0.0,0.0,0.0,1
8,Baseline,0,Router1,0.0,0.0,0.0,1
9,Baseline,0,Router1,0.0,0.0,0.0,1
10,Baseline,0,Router1,0.0,0.0,0.0,1
11,Baseline,0,Router1,0.0,0.0,0.0,1
12,Baseline,0,Router1,0.0,0.0,0.0,1
13,Baseline,0,Router1,0.0,0.0,0.0,1
14,Baseline,0,Router1,0.0,0.0,0.0,1
15,Baseline,0,Router1,0.0,0.0,0.0,1
16,Baseline,0,Router1,0.0,0.0,0.0,1
17,Baseline,0,Router1,0.0,0.0,0.0,1
18,Baseline,0,Router1,0.0,0.0,0.0,1
19,Baseline,0,Router1,0.0,0.0,0.0,1
20,Baseline,0,Router1,0.0,0.0,0.0,1
21,Baseline,0,Router1,0.0,0.0,0.0,1
22,Baseline,0,Router1,0.0,0.0,0.0,1
23,Baseline,0,Router1,0.0,0.0,0.0,1
24,Baseline,0,Router1,0.0,0.0,0.0,1
25,Baseline,0,Router1,0.0,0.0,0.0,1
26,Baseline,0,Router1,0.0,0.0,0.0,1
27,Baseline,0,Router1,0.0,0.0,0.0,1
28,Baseline,0,Router1,0.0,0.0,0.0,1
29,Baseline,0,Router1,0.0,0.0,0.0,1
30,Baseline,0,Router1,0.0,0.0,0.0,1
31,Baseline,0,Router1,0.0,0.0,0.0,1
32,Baseline,0,Router1,0.0,0.0,0.0,1
33,Baseline,0,Router1,0.0,0.0,0.0,1
34,Baseline,0,Router1,0.0,0.0,0.0,1
35,Baseline,0,Router1,0.0,0.0,0.0,1
36,Baseline,0,Router1,0.0,0.0,0.0,1
37,Baseline,0,Router1,0.0,0.0,0.0,1
38,Baseline,0,Router1,0.0,0.0,0.0,1
39,Baseline,0,Router1,0.0,0.0,0.0,1
40,Baseline,0,Router1,0.0,0.0,0.0,1
41,Baseline,0,Router1,0.0,0.0,0.0,1
42,Baseline,0,Router1,0.0,0.0,0.0,1
43,Baseline,0,Router1,0.0,0.0,0.0,1
44,Baseline,0,Router1,0.0,0.0,0.0,1
45,Baseline,0,Router1,0.0,0.0,0.0,1
46,Baseline,0,Router1,0.0,0.0,0.0,1
47,Baseline,0,Router1,0.0,0.0,0.0,1
48,Baseline,0,Router1,0.0,0.0,0.0,1
49,Baseline,0,Router1,0.0,0.0,0.0,1
50,Baseline,0,Router1,0.0,0.0,0.0,1
1,RL,18,Router19,0.0,0.0,0.0,1
2,RL,18,Router19,0.0,0.0,0.0,1
3,RL,18,Router19,0.0,0.0,0.0,1
4,RL,18,Router19,0.0,0.0,0.0,1
5,RL,18,Router19,0.0,0.0,0.0,1
6,RL,18,Router19,0.0,0.0,0.0,1
7,RL,18,Router19,0.0,0.0,0.0,1
8,RL,18,Router19,0.0,0.0,0.0,1
9,RL,18,Router19,0.0,0.0,0.0,1
10,RL,18,Router19,0.0,0.0,0.0,1
11,RL,18,Router19,0.0,0.0,0.0,1
12,RL,18,Router19,0.0,0.0,0.0,1
13,RL,18,Router19,0.0,0.0,0.0,1
14,RL,18,Router19,0.0,0.0,0.0,1
15,RL,18,Router19,0.0,0.0,0.0,1
16,RL,18,Router19,0.0,0.0,0.0,1
17,RL,18,Router19,0.0,0.0,0.0,1
18,RL,18,Router19,0.0,0.0,0.0,1
19,RL,18,Router19,0.0,0.0,0.0,1
20,RL,18,Router19,0.0,0.0,0.0,1
21,RL,18,Router19,0.0,0.0,0.0,1
22,RL,18,Router19,0.0,0.0,0.0,1
23,RL,18,Router19,0.0,0.0,0.0,1
24,RL,18,Router19,0.0,0.0,0.0,1
25,RL,18,Router19,0.0,0.0,0.0,1
26,RL,18,Router19,0.0,0.0,0.0,1
27,RL,18,Router19,0.0,0.0,0.0,1
28,RL,18,Router19,0.0,0.0,0.0,1
29,RL,18,Router19,0.0,0.0,0.0,1
30,RL,18,Router19,0.0,0.0,0.0,1
31,RL,18,Router19,0.0,0.0,0.0,1
32,RL,18,Router19,0.0,0.0,0.0,1
33,RL,18,Router19,0.0,0.0,0.0,1
34,RL,18,Router19,0.0,0.0,0.0,1
35,RL,18,Router19,0.0,0.0,0.0,1
36,RL,18,Router19,0.0,0.0,0.0,1
37,RL,18,Router19,0.0,0.0,0.0,1
38,RL,18,Router19,0.0,0.0,0.0,1
39,RL,18,Router19,0.0,0.0,0.0,1
40,RL,18,Router19,0.0,0.0,0.0,1
41,RL,18,Router19,0.0,0.0,0.0,1
42,RL,18,Router19,0.0,0.0,0.0,1
43,RL,18,Router19,0.0,0.0,0.0,1
44,RL,18,Router19,0.0,0.0,0.0,1
45,RL,18,Router19,0.0,0.0,0.0,1
46,RL,18,Router19,0.0,0.0,0.0,1
47,RL,18,Router19,0.0,0.0,0.0,1
48,RL,18,Router19,0.0,0.0,0.0,1
49,RL,18,Router19,0.0,0.0,0.0,1
50,RL,18,Router19,0.0,0.0,0.0,1
