iteration,Router,CacheOccupancy,CacheOccupancyPct,CMBA,Latency_ms,CHR
1,Router1,0,0.0,,,
1,Router2,0,0.0,,,
1,Router3,0,0.0,,,
1,Router4,0,0.0,,,
2,Router1,0,0.0,,,
2,Router2,0,0.0,,,
2,Router3,0,0.0,,,
2,Router4,0,0.0,,,
3,Router1,0,0.0,,,
3,Router2,0,0.0,,,
3,Router3,0,0.0,,,
3,Router4,0,0.0,,,
4,Router1,0,0.0,,,
4,Router2,1,0.0,,,
4,Router3,0,0.0,,,
4,Router4,1,0.0,,,
5,Router1,1,0.0,,,
5,Router2,1,0.0,,,
5,Router3,0,0.0,,,
5,Router4,0,0.0,,,
6,Router1,1,0.0,,,
6,Router2,0,0.0,,,
6,Router3,0,0.0,,,
6,Router4,1,0.0,,,
7,Router1,1,0.0,,,
7,Router2,1,0.0,,,
7,Router3,0,0.0,,,
7,Router4,1,0.0,,,
8,Router1,0,0.0,,,
8,Router2,1,0.0,,,
8,Router3,0,0.0,,,
8,Router4,1,0.0,,,
