iteration,Router,CacheOccupancy,CacheOccupancyPct,CMBA,Latency_ms,CHR
1,Router1,1,2.0,2.446231,19.715997,0.261683
1,Router2,8,16.0,0.829894,121.127126,0.21281
1,Router3,14,28.0,7.148251,89.422798,0.527312
1,Router4,13,26.0,6.467594,67.702518,1.0
1,Router5,8,16.0,7.095784,85.468192,0.725869
1,Router6,2,4.0,6.449008,113.092336,0.344181
1,Router7,6,12.0,1.463572,112.680586,0.614258
1,Router8,1,2.0,5.10586,182.668463,1.0
2,Router1,0,0.0,2.451138,19.457192,0.290354
2,Router2,9,18.0,0.801949,121.690923,0.224407
2,Router3,13,26.0,7.229662,89.614897,0.544957
2,Router4,11,22.0,6.639839,65.926812,1.0
2,Router5,8,16.0,6.985623,87.353653,0.72682
2,Router6,2,4.0,6.66345,115.990929,0.328418
2,Router7,7,14.0,1.465766,110.588795,0.62358
2,Router8,0,0.0,5.149075,184.440154,1.0
3,Router1,0,0.0,2.452528,19.943536,0.273017
3,Router2,8,16.0,0.802216,120.059059,0.20408
3,Router3,13,26.0,7.265015,90.216189,0.545136
3,Router4,13,26.0,6.32072,65.186606,1.0
3,Router5,9,18.0,6.935639,82.542469,0.724021
3,Router6,0,0.0,6.413363,109.48017,0.347979
3,Router7,5,10.0,1.486151,110.706494,0.636559
3,Router8,1,2.0,5.286466,185.887513,1.0
4,Router1,1,2.0,2.478561,19.415532,0.290653
4,Router2,9,18.0,0.839312,120.834599,0.226967
4,Router3,14,28.0,7.287968,86.591493,0.522583
4,Router4,13,26.0,6.400239,67.596007,1.0
4,Router5,10,20.0,6.903029,82.359283,0.728451
4,Router6,2,4.0,6.537175,113.624584,0.345654
4,Router7,7,14.0,1.466239,112.886198,0.638375
4,Router8,1,2.0,5.23143,176.444695,1.0
5,Router1,0,0.0,2.577296,18.404418,0.277225
5,Router2,8,16.0,0.837855,117.673134,0.23984
5,Router3,13,26.0,7.519882,87.691552,0.549773
5,Router4,13,26.0,6.613822,63.69257,1.0
5,Router5,10,20.0,6.988809,82.904833,0.712071
5,Router6,2,4.0,6.350888,110.538177,0.323968
5,Router7,6,12.0,1.489511,108.657349,0.605052
5,Router8,0,0.0,5.265493,180.339077,1.0
6,Router1,0,0.0,2.465468,19.107049,0.283252
6,Router2,9,18.0,0.813271,121.697534,0.230404
6,Router3,14,28.0,7.535056,83.990724,0.55769
6,Router4,11,22.0,6.618937,67.649848,1.0
6,Router5,8,16.0,6.981278,86.840293,0.708298
6,Router6,1,2.0,6.346295,106.288263,0.329837
6,Router7,5,10.0,1.507063,109.506952,0.620415
6,Router8,1,2.0,5.224975,179.512229,1.0
7,Router1,0,0.0,2.497151,18.494121,0.267295
7,Router2,8,16.0,0.829283,120.58447,0.210773
7,Router3,14,28.0,7.451446,82.945978,0.558467
7,Router4,12,24.0,6.289546,64.763071,1.0
7,Router5,9,18.0,7.015492,86.076231,0.735595
7,Router6,0,0.0,6.365212,113.564018,0.348905
7,Router7,7,14.0,1.502033,119.40031,0.64118
7,Router8,1,2.0,5.316842,181.747093,1.0
8,Router1,0,0.0,2.527616,18.642965,0.266741
8,Router2,7,14.0,0.835661,118.498849,0.220804
8,Router3,13,26.0,7.456099,90.012613,0.551472
8,Router4,11,22.0,6.637994,64.586976,1.0
8,Router5,10,20.0,7.060632,86.788522,0.73005
8,Router6,2,4.0,6.457963,113.078128,0.333519
8,Router7,5,10.0,1.46552,115.427752,0.613147
8,Router8,0,0.0,5.210798,172.825193,1.0
9,Router1,0,0.0,2.549538,18.457433,0.290759
9,Router2,8,16.0,0.810412,119.537828,0.201595
9,Router3,13,26.0,7.451742,85.627522,0.549997
9,Router4,12,24.0,6.357993,63.31241,1.0
9,Router5,8,16.0,7.204982,87.662499,0.711854
9,Router6,1,2.0,6.430494,111.340132,0.351797
9,Router7,5,10.0,1.47709,115.482689,0.618222
9,Router8,1,2.0,5.139591,178.716681,1.0
10,Router1,0,0.0,2.53348,19.264634,0.267999
10,Router2,7,14.0,0.818844,117.302629,0.216774
10,Router3,14,28.0,7.153394,89.708404,0.540653
10,Router4,11,22.0,6.439333,66.468761,1.0
10,Router5,9,18.0,7.179399,85.158265,0.724434
10,Router6,2,4.0,6.418718,110.292315,0.354391
10,Router7,5,10.0,1.483767,113.392106,0.608661
10,Router8,0,0.0,5.104793,182.183369,1.0
11,Router1,0,0.0,2.582641,18.463769,0.289658
11,Router2,7,14.0,0.834791,124.958801,0.208895
11,Router3,14,28.0,7.553771,84.693691,0.540478
11,Router4,13,26.0,6.531687,62.553579,1.0
11,Router5,10,20.0,7.227385,84.074089,0.744129
11,Router6,2,4.0,6.484355,111.24369,0.349789
11,Router7,6,12.0,1.449855,116.441307,0.610022
11,Router8,0,0.0,5.135546,172.155455,1.0
12,Router1,1,2.0,2.511198,18.801043,0.290566
12,Router2,9,18.0,0.818442,119.850889,0.212913
12,Router3,13,26.0,7.452633,88.106037,0.521028
12,Router4,12,24.0,6.452424,62.076203,1.0
12,Router5,9,18.0,6.833107,82.575698,0.743418
12,Router6,2,4.0,6.435623,109.738044,0.358856
12,Router7,7,14.0,1.473627,110.181575,0.60961
12,Router8,0,0.0,5.189022,178.73107,1.0
