iteration,Router,CacheOccupancy,CacheOccupancyPct,CMBA,Latency_ms,CHR
1,Router1,0,0.0,5.05793,268.240206,0.006822
1,Router2,0,0.0,3.310192,15.210421,0.925702
1,Router3,0,0.0,2.070171,222.677787,0.73108
1,Router4,0,0.0,9.02384,119.992074,0.918499
1,Router5,0,0.0,2.633751,131.307387,0.402101
1,Router6,0,0.0,9.50122,124.716222,0.24043
1,Router7,0,0.0,8.213071,34.886498,0.594795
1,Router8,0,0.0,4.501878,103.660305,0.939062
1,Router9,0,0.0,5.517927,177.714693,0.423301
1,Router10,0,0.0,0.124517,198.127034,0.452729
1,Router11,0,0.0,3.546446,246.573737,0.19979
1,Router12,0,0.0,9.747934,254.031602,0.517084
1,Router13,0,0.0,5.747986,195.981512,0.594183
1,Router14,0,0.0,6.89352,273.186508,0.511934
1,Router15,1,6.6667,9.12781,43.448075,0.012185
1,Router16,0,0.0,8.733617,67.224069,0.802817
1,Router17,1,6.6667,0.940966,143.727351,0.74629
1,Router18,1,6.6667,6.241605,302.613793,0.742845
1,Router19,0,0.0,9.519738,58.624549,0.113711
1,Router20,0,0.0,2.982834,284.167823,0.617079
1,Router21,1,6.6667,0.699643,253.592651,0.459554
1,Router22,0,0.0,0.264183,151.615639,0.25176
1,Router23,0,0.0,2.449014,226.591609,0.202565
1,Router24,0,0.0,7.068714,89.350921,0.621426
1,Router25,0,0.0,2.729697,152.860718,0.035652
1,Router26,0,0.0,4.051887,194.572304,0.670713
1,Router27,0,0.0,4.375109,188.94057,0.662555
1,Router28,1,6.6667,6.407528,246.509249,0.131734
1,Router29,0,0.0,7.7163,285.838098,0.867901
1,Router30,0,0.0,0.586985,101.044337,0.338926
1,Router31,0,0.0,5.176734,78.964114,0.650407
1,Router32,0,0.0,3.646172,238.88979,0.0
2,Router1,0,0.0,8.788701,101.058691,0.130577
2,Router2,0,0.0,6.2301,133.064052,0.389569
2,Router3,1,6.6667,8.63095,41.023112,0.050319
2,Router4,0,0.0,3.515211,66.886051,0.258611
2,Router5,0,0.0,3.7441,55.988789,0.780945
2,Router6,0,0.0,1.052133,91.904754,0.809627
2,Router7,0,0.0,6.341427,14.512191,0.173635
2,Router8,0,0.0,5.297052,246.016871,0.44188
2,Router9,0,0.0,0.161641,239.725428,0.098512
2,Router10,1,6.6667,3.885486,117.871274,0.225575
2,Router11,0,0.0,5.070263,248.228059,0.597775
2,Router12,1,6.6667,5.499749,38.920604,0.142958
2,Router13,0,0.0,3.44498,54.848512,0.786249
2,Router14,0,0.0,3.679788,114.28612,0.32619
2,Router15,1,6.6667,4.887899,259.112847,0.210016
2,Router16,1,6.6667,1.314135,298.216469,0.388896
2,Router17,0,0.0,3.966021,305.482789,0.763793
2,Router18,0,0.0,6.265445,20.008445,0.976598
2,Router19,0,0.0,8.855642,274.281419,0.779439
2,Router20,0,0.0,5.368263,194.764335,0.763675
2,Router21,0,0.0,0.82629,39.080218,0.828813
2,Router22,1,6.6667,5.003246,196.050874,0.902588
2,Router23,0,0.0,8.182547,105.540108,0.70196
2,Router24,1,6.6667,4.247062,300.427061,0.959964
2,Router25,0,0.0,4.553273,191.759118,0.093466
2,Router26,1,6.6667,0.596107,104.606317,0.68137
2,Router27,0,0.0,1.019426,231.942044,0.593072
2,Router28,0,0.0,2.464976,174.931834,0.356549
2,Router29,1,6.6667,1.210019,84.826047,0.258989
2,Router30,1,6.6667,6.830427,66.199614,0.955688
2,Router31,0,0.0,8.172545,53.01833,0.082618
2,Router32,0,0.0,6.95392,237.446703,0.880206
3,Router1,0,0.0,8.575888,209.431135,0.160486
3,Router2,0,0.0,5.829857,104.773045,0.821735
3,Router3,0,0.0,7.699326,23.272505,0.785555
3,Router4,0,0.0,3.630219,114.270175,0.747691
3,Router5,0,0.0,1.131686,177.581234,0.613237
