iteration,best_by_model,model_used
1,Router16,True
2,Router18,True
3,Router3,True
4,Router29,True
5,Router18,True
6,Router8,True
7,Router13,True
8,Router1,True
9,Router11,True
10,Router18,True
11,Router24,True
12,Router3,True
13,Router7,True
14,Router16,True
15,Router29,True
16,Router17,True
17,Router20,True
18,Router24,True
19,Router30,True
20,Router1,True
21,Router29,True
22,Router2,True
23,Router10,True
24,Router7,True
25,Router4,True
26,Router12,True
27,Router5,True
28,Router8,True
29,Router26,True
30,Router23,True
31,Router15,True
32,Router3,True
33,Router17,True
34,Router2,True
35,Router2,True
36,Router27,True
37,Router6,True
38,Router26,True
39,Router28,True
40,Router6,True
41,Router32,True
42,Router7,True
43,Router31,True
44,Router14,True
45,Router29,True
46,Router12,True
47,Router22,True
48,Router15,True
49,Router12,True
50,Router21,True
