iteration,path_name,Router,Cache occupy,CMBA,Latency(s),CHR,norm_CMBA,norm_CHR,norm_CacheOccupy,norm_Latency,avg_score
1,path_14_to_9,R14,5.976,5.351,229.165,63.489,0.0,0.6861376187439884,1.0,0.0,0.4215344046859971
1,path_14_to_9,R13,46.105,11.377,156.925,92.531,0.4560314817617678,1.0,0.0,1.0,0.6140078704404419
1,path_14_to_9,R9,42.214,18.565,190.531,0.0,1.0,0.0,0.09696229659348597,0.5348006644518272,0.4079407402613283
2,path_14_to_9,R14,5.861,4.578,191.366,63.881,0.0,0.6129471270280117,1.0,0.42691453634545123,0.5099654158433657
2,path_14_to_9,R13,47.299,10.413,160.138,100.0,0.49390553580497715,1.0,0.0,1.0,0.6234763839512443
2,path_14_to_9,R9,40.967,16.392,214.629,6.682,1.0,0.0,0.15280660263526233,0.0,0.2882016506588156
3,path_14_to_9,R14,5.684,5.276,218.958,74.24,0.0,0.7424,1.0,0.0,0.4356
3,path_14_to_9,R13,48.551,11.28,161.845,100.0,0.5224958663301714,1.0,0.0,1.0,0.6306239665825428
3,path_14_to_9,R9,40.944,16.767,188.853,0.0,1.0,0.0,0.17745585182074786,0.5271129164988705,0.42614219207990456
4,path_14_to_9,R14,5.578,5.346,181.847,62.225,0.0,0.6019829729843639,1.0,1.0,0.6504957432460909
4,path_14_to_9,R13,49.758,11.57,182.927,100.0,0.45440607432284447,1.0,0.0,0.9671732522796358,0.60539483165062
4,path_14_to_9,R9,35.774,19.043,214.747,5.092,1.0,0.0,0.3165233137166139,0.0,0.3291308284291535
5,path_14_to_9,R14,6.467,5.304,235.962,62.299,0.0,0.62299,1.0,0.0,0.40574750000000004
5,path_14_to_9,R13,46.429,10.481,191.423,100.0,0.5293456032719837,1.0,0.0,1.0,0.6323364008179959
5,path_14_to_9,R9,39.009,15.084,217.955,0.0,1.0,0.0,0.18567639257294433,0.40429735737219025,0.39749343748628363
6,path_14_to_9,R14,5.516,5.666,222.183,69.922,0.0,0.690950253202264,1.0,0.0,0.422737563300566
6,path_14_to_9,R13,48.528,11.686,176.747,95.859,0.4962492787074437,1.0,0.0,1.0,0.6240623196768609
6,path_14_to_9,R9,40.145,17.797,208.767,11.934,1.0,0.0,0.19489909792616003,0.2952724711682367,0.37254289227359916
7,path_14_to_9,R14,6.04,4.929,184.347,66.762,0.0,0.6837985582446439,1.0,0.35745930848502333,0.5103144666824168
7,path_14_to_9,R13,41.62,12.084,171.004,91.808,0.601209982354424,1.0,0.0,1.0,0.650302495588606
7,path_14_to_9,R9,41.609,16.83,191.77,12.599,1.0,0.0,0.00030916245081494324,0.0,0.25007729061270373
8,path_14_to_9,R14,5.7,5.113,187.552,69.718,0.0,0.7243088432988486,1.0,0.6918060674794447,0.6040287276945734
8,path_14_to_9,R13,44.368,10.672,181.03,93.302,0.42633637548891784,1.0,0.0,1.0,0.6065840938722294
8,path_14_to_9,R9,41.808,18.152,202.192,7.757,1.0,0.0,0.06620461363401269,0.0,0.26655115340850316
9,path_14_to_9,R14,5.524,5.595,196.894,70.1,0.0,0.6997841257091219,1.0,0.7312954494339904,0.6077698937857781
9,path_14_to_9,R13,44.443,11.088,182.557,100.0,0.47711282897594015,1.0,0.0,1.0,0.6192782072439851
9,path_14_to_9,R9,40.214,17.108,235.913,0.405,1.0,0.0,0.10866157917726559,0.0,0.2771653947943164
10,path_14_to_9,R14,5.903,5.363,205.054,73.446,0.0,0.7541734236382714,1.0,0.4641353844828885,0.5545772020302899
10,path_14_to_9,R13,48.078,11.528,155.277,94.062,0.5913669064748202,1.0,0.0,1.0,0.6478417266187051
10,path_14_to_9,R9,36.137,15.788,248.168,10.198,1.0,0.0,0.28312981624184946,0.0,0.32078245406046235
