iteration,path_name,manual_chosen_router,manual_chosen_avg,ai_recommend_router
1,path_14_to_9,R13,0.6140078704404419,R13
2,path_14_to_9,R13,0.6234763839512443,R13
3,path_14_to_9,R13,0.6306239665825428,R13
4,path_14_to_9,R14,0.6504957432460909,R14
5,path_14_to_9,R13,0.6323364008179959,R13
6,path_14_to_9,R13,0.6240623196768609,R13
7,path_14_to_9,R13,0.650302495588606,R13
8,path_14_to_9,R13,0.6065840938722294,R13
9,path_14_to_9,R13,0.6192782072439851,R13
10,path_14_to_9,R13,0.6478417266187051,R13
