iteration,path_name,manual_chosen_router,manual_chosen_avg
1,path_Router1_to_Router34,Router34,0.9774310550326744
2,path_Router1_to_Router34,Router34,1.0
3,path_Router1_to_Router34,Router34,0.9791986272571279
4,path_Router1_to_Router34,Router34,0.9950187032418952
5,path_Router1_to_Router34,Router34,0.9967793474235511
6,path_Router1_to_Router34,Router34,0.9667833574762594
7,path_Router1_to_Router34,Router34,1.0
8,path_Router1_to_Router34,Router34,0.9635828871301491
9,path_Router1_to_Router34,Router34,0.9831040056773379
10,path_Router1_to_Router34,Router34,0.9861881429559813
11,path_Router1_to_Router34,Router34,0.9844817278705624
12,path_Router1_to_Router34,Router34,0.9977781474264531
13,path_Router1_to_Router34,Router34,1.0
14,path_Router1_to_Router34,Router34,0.997244916340825
15,path_Router1_to_Router34,Router34,0.9727889966051867
16,path_Router1_to_Router34,Router34,1.0
17,path_Router1_to_Router34,Router34,1.0
18,path_Router1_to_Router34,Router34,1.0
19,path_Router1_to_Router34,Router34,1.0
20,path_Router1_to_Router34,Router34,0.9843180179798151
21,path_Router1_to_Router34,Router34,0.98715
22,path_Router1_to_Router34,Router34,1.0
23,path_Router1_to_Router34,Router34,0.9880075553518939
24,path_Router1_to_Router34,Router34,1.0
25,path_Router1_to_Router34,Router34,0.9573238890409709
26,path_Router1_to_Router34,Router34,1.0
27,path_Router1_to_Router34,Router34,0.999375
28,path_Router1_to_Router34,Router34,0.9583130991758073
29,path_Router1_to_Router34,Router34,1.0
30,path_Router1_to_Router34,Router34,0.9426357210284482
31,path_Router1_to_Router34,Router34,0.9823113207547169
32,path_Router1_to_Router34,Router34,0.978184323331292
33,path_Router1_to_Router34,Router34,0.9651513568970925
34,path_Router1_to_Router34,Router34,0.9986144212609047
35,path_Router1_to_Router34,Router34,1.0
36,path_Router1_to_Router34,Router34,1.0
37,path_Router1_to_Router34,Router34,1.0
38,path_Router1_to_Router34,Router34,0.9862010890342312
39,path_Router1_to_Router34,Router34,0.9689129377155955
40,path_Router1_to_Router34,Router34,1.0
41,path_Router1_to_Router34,Router34,1.0
42,path_Router1_to_Router34,Router34,0.9709965237543453
43,path_Router1_to_Router34,Router34,0.9856592711805955
44,path_Router1_to_Router34,Router34,0.9593529667936569
45,path_Router1_to_Router34,Router34,1.0
46,path_Router1_to_Router34,Router34,0.9673900243022471
47,path_Router1_to_Router34,Router34,0.9605678391456365
48,path_Router1_to_Router34,Router34,0.9551539982470088
49,path_Router1_to_Router34,Router34,0.9924587017539968
50,path_Router1_to_Router34,Router34,0.9948717948717949
51,path_Router1_to_Router34,Router34,0.9733034612991606
52,path_Router1_to_Router34,Router34,1.0
53,path_Router1_to_Router34,Router34,0.9882601834450073
54,path_Router1_to_Router34,Router34,0.9834354171525366
55,path_Router1_to_Router34,Router34,0.9798551652396574
56,path_Router1_to_Router34,Router34,0.9928369053603253
57,path_Router1_to_Router34,Router34,0.9589284061815602
58,path_Router1_to_Router34,Router34,0.9923078169211829
59,path_Router1_to_Router34,Router34,1.0
60,path_Router1_to_Router34,Router34,1.0
61,path_Router1_to_Router34,Router34,0.9680757719565565
62,path_Router1_to_Router34,Router34,0.9590475902033234
63,path_Router1_to_Router34,Router34,0.9907551542825516
64,path_Router1_to_Router34,Router34,0.9843040014097448
65,path_Router1_to_Router34,Router34,0.981989284461406
66,path_Router1_to_Router34,Router34,0.9795561513255884
67,path_Router1_to_Router34,Router34,0.97053092077184
68,path_Router1_to_Router34,Router34,0.998
69,path_Router1_to_Router34,Router34,0.9928400954653938
70,path_Router1_to_Router34,Router34,1.0
71,path_Router1_to_Router34,Router34,0.992003680381228
72,path_Router1_to_Router34,Router34,0.9912947745948155
73,path_Router1_to_Router34,Router34,0.9848561128463745
74,path_Router1_to_Router34,Router34,0.9853305913877983
75,path_Router1_to_Router34,Router34,0.9775489664782844
76,path_Router1_to_Router34,Router34,0.9638898111752546
77,path_Router1_to_Router34,Router34,0.9980867346938775
78,path_Router1_to_Router34,Router34,0.959233569627695
79,path_Router1_to_Router34,Router34,0.964976110112655
80,path_Router1_to_Router34,Router34,1.0
81,path_Router1_to_Router34,Router34,0.971665082382763
82,path_Router1_to_Router34,Router34,0.9784688995215312
83,path_Router1_to_Router34,Router34,0.9772041381901877
84,path_Router1_to_Router34,Router34,0.9983133658255504
85,path_Router1_to_Router34,Router34,0.995451029102518
86,path_Router1_to_Router34,Router34,1.0
87,path_Router1_to_Router34,Router34,0.9815407055264438
88,path_Router1_to_Router34,Router34,0.9925495890352241
89,path_Router1_to_Router34,Router34,0.9749300227780107
90,path_Router1_to_Router34,Router34,0.9783299132974692
91,path_Router1_to_Router34,Router34,0.9374867312081983
92,path_Router1_to_Router34,Router34,0.9626997256816336
93,path_Router1_to_Router34,Router34,0.9654911200251381
94,path_Router1_to_Router34,Router34,0.9709787851578914
95,path_Router1_to_Router34,Router34,0.9954898162687542
96,path_Router1_to_Router34,Router34,0.9938145531267633
97,path_Router1_to_Router34,Router34,1.0
98,path_Router1_to_Router34,Router34,0.9805186539529717
99,path_Router1_to_Router34,Router34,0.9747130739917079
100,path_Router1_to_Router34,Router34,0.9886093213299508
