iteration,path_name,Router,Cache occupy,CMBA,Latency(s),CHR,norm_CMBA,norm_CHR,norm_CacheOccupy,norm_Latency,avg_score
1,path_Router22_to_Router6,Router22,17.066,7.466,212.238,35.137,0.28767123287671237,0.30151464833879604,1.0,0.13924918679196766,0.432108767001869
1,path_Router22_to_Router6,Router25,40.123,19.322,117.604,64.54,1.0,0.7260637913857083,0.1862713958002472,0.5661958105687719,0.619632749438682
1,path_Router22_to_Router6,Router24,45.401,2.698,21.45,75.957,0.0012016342225426592,0.8909135538645911,0.0,1.0,0.47302879702178346
1,path_Router22_to_Router6,Router21,34.371,2.678,185.347,63.467,0.0,0.7105707726294814,0.3892712193400388,0.26056944864269826,0.3401028601530546
1,path_Router22_to_Router6,Router18,39.991,4.96,85.131,23.09,0.1371064647921173,0.12756833244292992,0.19092994529733556,0.7126995799741036,0.2920760806266216
1,path_Router22_to_Router6,Router15,34.873,8.906,217.082,29.982,0.3741888968997838,0.2270817390299897,0.37155461443444515,0.11739520782484339,0.2725551145472655
1,path_Router22_to_Router6,Router12,36.007,13.883,129.119,14.255,0.6732155731795241,0.0,0.33153343920945844,0.51424523918016,0.37974856289228565
1,path_Router22_to_Router6,Router9,42.925,18.565,100.959,25.217,0.9545181446767605,0.15828002945550626,0.08738309511205243,0.6412906660410641,0.4603679838213458
1,path_Router22_to_Router6,Router6,42.621,10.917,243.103,83.512,0.49501321797644804,1.0,0.09811187577201344,0.0,0.3982812734371154
2,path_Router22_to_Router6,Router22,17.026,6.465,211.848,28.956,0.22034862670046035,0.3301814169510662,1.0,0.2304101288504839,0.4452350431255026
2,path_Router22_to_Router6,Router25,36.89,21.538,109.262,65.094,1.0,0.7938338764722486,0.3585843908424553,0.6335286327859447,0.6964867250251621
2,path_Router22_to_Router6,Router24,47.995,2.938,16.002,74.862,0.03791444680080692,0.9191578353134382,0.0,1.0,0.48926807052856125
