episode,steps,episode_reward_sum,episode_reward_avg,episode_loss_avg,epsilon
1,100,-10.941728379850248,-0.10941728379850249,0.0003118857625122473,0.8307187014821328
2,100,-7.362489399617457,-0.07362489399617457,7.856147982920447e-05,0.5032248303978422
3,100,-4.46534948243524,-0.0446534948243524,6.921642297584185e-05,0.30483872516307353
4,100,-1.3059277513168739,-0.01305927751316874,7.516403020076723e-05,0.1846622876013121
5,100,-1.5564688803300037,-0.015564688803300038,7.713871700275377e-05,0.11186295456362313
6,100,-0.6223021389519825,-0.006223021389519825,7.468799292098538e-05,0.0677632708131484
7,100,-0.8818340211735107,-0.008818340211735108,7.79298132886197e-05,0.05
8,100,-0.35074973523482766,-0.0035074973523482765,0.00010171253683040504,0.05
9,100,-0.7170112347949951,-0.00717011234794995,6.5275675225962e-05,0.05
10,100,-1.1157818601273295,-0.011157818601273295,6.613500119726722e-05,0.05
