Policy,Iteration,Cache Hit Ratio,Latency,Hop Reduction
LRU,1,0.0,0.00642874867295481,0.84375
LRU,2,0.0,0.004236075463862795,0.84375
LRU,3,0.0,0.002905133448670819,0.8020833333333334
LRU,4,0.0,0.002200064998937762,0.7578125
LRU,5,0.0,0.0014012453101096248,0.75
LRU,6,0.0,0.0017901088930130917,0.7604166666666666
LRU,7,0.0,0.0007633397883355366,0.7723214285714286
LRU,8,0.0,0.00023010678859214395,0.7723214285714286
LRU,9,0.0,0.00036647029726924804,0.7578125
LRU,10,0.0,0.0006422613248468675,0.7578125
LRU,11,0.0,0.00067360087500239,0.7578125
LRU,12,1.2048192771084338,0.0009412904974935968,0.7578125
LRU,13,1.0638297872340425,0.0005019360454789254,0.7465277777777778
LRU,14,0.9523809523809524,0.0006242553458261767,0.7465277777777778
LRU,15,0.9090909090909091,0.0006703672668927064,0.7465277777777778
LFU,1,0.0,0.006390430977093265,0.71875
LFU,2,0.0,0.003188065051725493,0.71875
LFU,3,0.0,0.003144510443490667,0.7291666666666666
LFU,4,0.0,0.0020631827117641647,0.7291666666666666
LFU,5,0.0,0.00116442345975864,0.7291666666666666
LFU,6,0.0,0.0008043480091493477,0.7421875
LFU,7,0.0,0.0007751236927572913,0.725
LFU,8,0.0,0.0011886955246409021,0.7083333333333334
LFU,9,0.0,0.0010631884057989169,0.7083333333333334
LFU,10,0.0,0.00017054469219477216,0.7083333333333334
LFU,11,0.0,0.0009088099229682159,0.7083333333333334
LFU,12,0.0,0.00023857087024543972,0.7083333333333334
LFU,13,0.0,0.0005428766723236998,0.7276785714285714
LFU,14,0.0,0.0006967856378977101,0.7421875
LFU,15,0.0,0.0003169741223690178,0.7361111111111112
FIFO,1,0.0,0.001768796261910087,0.8125
FIFO,2,0.0,0.0019035448316965977,0.8125
FIFO,3,0.0,0.0013405231742090722,0.828125
FIFO,4,0.0,0.00039956712150963144,0.7916666666666666
FIFO,5,0.0,0.002634293826092382,0.78125
FIFO,6,0.0,0.002225027566611149,0.79375
FIFO,7,0.0,0.00027472834403335027,0.7916666666666666
FIFO,8,0.0,0.0005248613800521004,0.7916666666666666
FIFO,9,0.0,0.00025993243402573207,0.7916666666666666
FIFO,10,0.0,0.001208278466151694,0.7946428571428571
FIFO,11,0.0,0.001192221616386627,0.7946428571428571
FIFO,12,0.0,0.000762685291109602,0.79296875
FIFO,13,0.0,0.0008254301855233652,0.79296875
FIFO,14,0.0,0.0005570870927305864,0.79296875
FIFO,15,0.0,0.00048378095994487246,0.7881944444444444
MRU,1,0.0,0.008674307836421582,0.65625
MRU,2,0.0,0.0024362307707383357,0.6875
MRU,3,0.0,0.002364674602135239,0.6875
MRU,4,0.0,0.0012963756747996693,0.71875
MRU,5,0.0,0.0009168498950603773,0.70625
MRU,6,0.0,0.001118351044501096,0.7291666666666666
MRU,7,0.0,0.0002841893447377875,0.7410714285714286
MRU,8,0.0,0.000576423938358202,0.7265625
MRU,9,0.0,0.001133618095718017,0.7265625
MRU,10,0.0,0.0005972782060391986,0.7256944444444444
MRU,11,0.0,0.0005238710447565668,0.7256944444444444
MRU,12,0.0,0.0009058227597069554,0.73125
MRU,13,0.0,0.00014793664767631857,0.73125
MRU,14,0.0,0.00018092782560483135,0.73125
MRU,15,0.0,0.00043143601299645986,0.73125
FACR,1,0.0,0.004701302343795241,0.75
FACR,2,0.0,0.0028914084597282614,0.734375
FACR,3,0.0,0.0010702452394440879,0.7604166666666666
FACR,4,0.0,0.0032850736329194277,0.78125
FACR,5,0.0,0.0014263042194254947,0.7875
FACR,6,0.0,0.0004359871480678583,0.765625
FACR,7,0.0,0.0018157808531414229,0.765625
FACR,8,0.0,0.00032445249442453417,0.7589285714285714
FACR,9,0.0,0.000330649028101879,0.74609375
FACR,10,0.0,0.0004732263914107339,0.7569444444444444
