episode,steps,episode_reward_sum,episode_reward_avg,episode_loss_avg,epsilon
1,100,-9.085320327625032,-0.09085320327625032,0.00019504725893057184,0.8307187014821328
2,100,-6.123951953880098,-0.06123951953880098,7.997220944538696e-05,0.5032248303978422
3,100,-3.2053015315933107,-0.0320530153159331,7.646913034506042e-05,0.30483872516307353
4,100,-1.7640692367025617,-0.017640692367025618,0.00011279029935849394,0.1846622876013121
5,100,-1.4983464409127487,-0.014983464409127487,0.0001031437741494301,0.11186295456362313
6,100,-0.538715982633833,-0.00538715982633833,8.210131288201695e-05,0.0677632708131484
7,100,-1.1518798952591123,-0.011518798952591123,9.4895823015122e-05,0.05
8,100,-0.8887297530565723,-0.008887297530565724,7.591878327446012e-05,0.05
9,100,-0.39259114965487235,-0.003925911496548724,0.00010001837685535975,0.05
10,100,-0.31134269164793993,-0.003113426916479399,8.876917312079513e-05,0.05
