episode,steps,episode_reward_sum,episode_reward_avg,episode_loss_avg,epsilon
1,100,-14.039237014713963,-0.14039237014713962,0.0005345420393496169,0.8307187014821328
2,100,-11.145333522609429,-0.11145333522609428,2.8250954100599303e-05,0.5032248303978422
3,100,-6.57816284242168,-0.0657816284242168,3.1532557027276195e-05,0.30483872516307353
4,100,-3.7442115461207854,-0.037442115461207855,3.209720470302102e-05,0.1846622876013121
5,100,-2.6632186438605894,-0.026632186438605893,3.421257725307214e-05,0.11186295456362313
6,100,-1.3787046185068768,-0.013787046185068768,2.921032263952128e-05,0.0677632708131484
7,100,-0.6483248430557577,-0.006483248430557576,3.0013549851162223e-05,0.05
8,100,-0.20107304006895105,-0.0020107304006895103,2.7846260456954043e-05,0.05
9,100,-0.7886448924619213,-0.007886448924619212,3.119657087893302e-05,0.05
10,100,-1.0712802536661783,-0.010712802536661783,2.884901883232871e-05,0.05
