episode,steps,episode_reward_sum,episode_reward_avg,episode_loss_avg,epsilon
1,100,-8.433184172447149,-0.08433184172447149,0.00046741885093069867,0.8307187014821328
2,100,-5.0568173534990235,-0.050568173534990234,3.240753222357284e-05,0.5032248303978422
3,100,-3.137067402303038,-0.03137067402303038,3.045772474365549e-05,0.30483872516307353
4,100,-1.468429984539219,-0.01468429984539219,2.7671854743758217e-05,0.1846622876013121
5,100,-1.1108091176871975,-0.011108091176871974,3.333681052652082e-05,0.11186295456362313
6,100,-0.38242394387714024,-0.0038242394387714026,3.961065837245314e-05,0.0677632708131484
7,100,-0.5223595801354192,-0.0052235958013541915,3.148779064261475e-05,0.05
8,100,-0.7449191606089027,-0.007449191606089027,4.004652563772026e-05,0.05
9,100,-0.5817034089317356,-0.005817034089317355,3.009804560633711e-05,0.05
10,100,-0.4524399509378463,-0.004524399509378463,2.5330333159523376e-05,0.05
