iteration,action,selected_router_name,reward,chr,latency_ms,cache_occupancy,cmba
1,2,Router3,0.0,0.0,0.0,0.0,0.0
2,2,Router3,0.0,0.0,0.0,0.0,0.0
3,1,Router2,0.0,0.0,0.0,0.0,0.0
4,2,Router3,0.0,0.0,0.0,0.0,0.0
5,2,Router3,0.0,0.0,0.0,0.0,0.0
6,2,Router3,0.0,0.0,0.0,0.0,0.0
7,2,Router3,0.0,0.0,0.0,0.0,0.0
8,8,Router9,0.0,0.0,0.0,0.0,0.0
9,5,Router6,0.0,0.0,0.0,0.0,0.0
10,2,Router3,0.0,0.0,0.0,0.0,0.0
11,2,Router3,0.0,0.0,0.0,0.0,0.0
12,2,Router3,0.0,0.0,0.0,0.0,0.0
13,2,Router3,0.0,0.0,0.0,0.0,0.0
14,2,Router3,0.0,0.0,0.0,0.0,0.0
15,2,Router3,0.0,0.0,0.0,0.0,0.0
16,2,Router3,0.0,0.0,0.0,0.0,0.0
17,2,Router3,0.0,0.0,0.0,0.0,0.0
18,2,Router3,0.0,0.0,0.0,0.0,0.0
19,2,Router3,0.0,0.0,0.0,0.0,0.0
20,8,Router9,0.0,0.0,0.0,0.0,0.0
21,2,Router3,0.0,0.0,0.0,0.0,0.0
22,1,Router2,0.0,0.0,0.0,0.0,0.0
23,2,Router3,0.0,0.0,0.0,0.0,0.0
24,5,Router6,0.0,0.0,0.0,0.0,0.0
25,2,Router3,0.0,0.0,0.0,0.0,0.0
26,2,Router3,0.0,0.0,0.0,0.0,0.0
27,5,Router6,0.0,0.0,0.0,0.0,0.0
28,1,Router2,0.0,0.0,0.0,0.0,0.0
29,2,Router3,0.0,0.0,0.0,0.0,0.0
30,2,Router3,0.0,0.0,0.0,0.0,0.0
31,1,Router2,0.0,0.0,0.0,0.0,0.0
32,2,Router3,0.0,0.0,0.0,0.0,0.0
33,2,Router3,0.0,0.0,0.0,0.0,0.0
34,2,Router3,0.0,0.0,0.0,0.0,0.0
35,8,Router9,0.0,0.0,0.0,0.0,0.0
36,2,Router3,0.0,0.0,0.0,0.0,0.0
37,2,Router3,0.0,0.0,0.0,0.0,0.0
38,2,Router3,0.0,0.0,0.0,0.0,0.0
39,2,Router3,0.0,0.0,0.0,0.0,0.0
40,2,Router3,0.0,0.0,0.0,0.0,0.0
41,2,Router3,0.0,0.0,0.0,0.0,0.0
42,2,Router3,0.0,0.0,0.0,0.0,0.0
43,8,Router9,0.0,0.0,0.0,0.0,0.0
44,1,Router2,0.0,0.0,0.0,0.0,0.0
45,2,Router3,0.0,0.0,0.0,0.0,0.0
46,2,Router3,0.0,0.0,0.0,0.0,0.0
47,2,Router3,0.0,0.0,0.0,0.0,0.0
48,8,Router9,0.0,0.0,0.0,0.0,0.0
49,2,Router3,0.0,0.0,0.0,0.0,0.0
50,1,Router2,0.0,0.0,0.0,0.0,0.0
51,2,Router3,0.0,0.0,0.0,0.0,0.0
52,2,Router3,0.0,0.0,0.0,0.0,0.0
53,2,Router3,0.0,0.0,0.0,0.0,0.0
54,1,Router2,0.0,0.0,0.0,0.0,0.0
55,2,Router3,0.0,0.0,0.0,0.0,0.0
56,2,Router3,0.0,0.0,0.0,0.0,0.0
57,2,Router3,0.0,0.0,0.0,0.0,0.0
58,2,Router3,0.0,0.0,0.0,0.0,0.0
59,1,Router2,0.0,0.0,0.0,0.0,0.0
60,2,Router3,0.0,0.0,0.0,0.0,0.0
61,8,Router9,0.0,0.0,0.0,0.0,0.0
62,8,Router9,0.0,0.0,0.0,0.0,0.0
63,8,Router9,0.0,0.0,0.0,0.0,0.0
64,2,Router3,0.0,0.0,0.0,0.0,0.0
65,2,Router3,0.0,0.0,0.0,0.0,0.0
66,2,Router3,0.0,0.0,0.0,0.0,0.0
67,2,Router3,0.0,0.0,0.0,0.0,0.0
68,1,Router2,0.0,0.0,0.0,0.0,0.0
69,2,Router3,0.0,0.0,0.0,0.0,0.0
70,2,Router3,0.0,0.0,0.0,0.0,0.0
71,2,Router3,0.0,0.0,0.0,0.0,0.0
72,2,Router3,0.0,0.0,0.0,0.0,0.0
73,2,Router3,0.0,0.0,0.0,0.0,0.0
74,2,Router3,0.0,0.0,0.0,0.0,0.0
75,2,Router3,0.0,0.0,0.0,0.0,0.0
76,2,Router3,0.0,0.0,0.0,0.0,0.0
77,2,Router3,0.0,0.0,0.0,0.0,0.0
78,2,Router3,0.0,0.0,0.0,0.0,0.0
79,2,Router3,0.0,0.0,0.0,0.0,0.0
80,2,Router3,0.0,0.0,0.0,0.0,0.0
81,2,Router3,0.0,0.0,0.0,0.0,0.0
82,2,Router3,0.0,0.0,0.0,0.0,0.0
83,5,Router6,0.0,0.0,0.0,0.0,0.0
84,2,Router3,0.0,0.0,0.0,0.0,0.0
85,2,Router3,0.0,0.0,0.0,0.0,0.0
86,2,Router3,0.0,0.0,0.0,0.0,0.0
87,2,Router3,0.0,0.0,0.0,0.0,0.0
88,2,Router3,0.0,0.0,0.0,0.0,0.0
89,2,Router3,0.0,0.0,0.0,0.0,0.0
90,2,Router3,0.0,0.0,0.0,0.0,0.0
91,2,Router3,0.0,0.0,0.0,0.0,0.0
92,2,Router3,0.0,0.0,0.0,0.0,0.0
93,1,Router2,0.0,0.0,0.0,0.0,0.0
94,2,Router3,0.0,0.0,0.0,0.0,0.0
95,8,Router9,0.0,0.0,0.0,0.0,0.0
96,8,Router9,0.0,0.0,0.0,0.0,0.0
97,5,Router6,0.0,0.0,0.0,0.0,0.0
98,2,Router3,0.0,0.0,0.0,0.0,0.0
99,2,Router3,0.0,0.0,0.0,0.0,0.0
100,2,Router3,0.0,0.0,0.0,0.0,0.0
